domain,city,prospect,url,kind,how to get the link,cost,contact
sacramentodogbitelawyerpros.com,"Sacramento, CA",Sacramento County Public Law Library - civil self-help (SH@LL),https://saclaw.org/services/civil-self-help/,City or county government or library resource page,Offer to run a free clinic or resource guide; law library staff list local help,Free,https://saclaw.org/services/civil-self-help/
sacramentodogbitelawyerpros.com,"Sacramento, CA",Sacramento Superior Court - legal services referral listing,https://www.saccourt.ca.gov/general/legal-referral.aspx,City or county government or library resource page,Agencies can ask the court to add or correct their entry on this referral list,Free,info@211sacramento.org
sacramentodogbitelawyerpros.com,"Sacramento, CA",Sacramento County Bar Association - lawyer referral service,https://sacbar.community.lawyer/,"Bar association, legal aid or local trade association",Join the referral panel through the county bar,Public pays $30 per referral set; personal injury referrals are free,https://sacbar.community.lawyer/
sacramentodogbitelawyerpros.com,"Sacramento, CA",Sacramento County Bar Association - become a member,https://sacbar.org/become,"Bar association, legal aid or local trade association",Join the bar association online and add practice sections,Attorney dues $50-$450; Associate $175; sections $25 each,https://sacbar.org/become
orlandomovingcompanypros.com,"Orlando, FL",Spectrum News 13 Orlando - story submission,https://mynews13.com/fl/orlando/about-us/story-submission,Local news site / neighborhood blog,Submit a local story idea through the station's form,Free (no fee stated),https://mynews13.com/fl/orlando/about-us/story-submission
orlandomovingcompanypros.com,"Orlando, FL",Orlando Sentinel - how to contribute,https://www.orlandosentinel.com/2015/10/21/how-to-contribute/,Local news site / neighborhood blog,Email a 500-700 word exclusive op-ed with a short bio and photo,Free (no fee stated),insight@orlandosentinel.com
orlandomovingcompanypros.com,"Orlando, FL",Lakeshore Landing HOA (Orlando) - helpful links,https://lakeshorelandinghoa.weebly.com/helpful-links.html,"Neighborhood, HOA or community group site",Contact the HOA board and ask to be added to the helpful links page,Free (no fee stated),https://lakeshorelandinghoa.weebly.com/helpful-links.html
orlandomovingcompanypros.com,"Orlando, FL",City of Orlando - register a neighborhood association,https://www.orlando.gov/Our-Government/Get-Involved/Register-a-Neighborhood-Association,"Neighborhood, HOA or community group site",Email neighborhood relations to reach registered associations and offer a moving-tips resource,Free,neighborhoods@orlando.gov
orlandomovingcompanypros.com,"Orlando, FL",East Orlando Chamber of Commerce - membership FAQs,https://www.eocc.org/faqs,Chamber of commerce directory / join page,Apply through 'Join Now' for a member directory listing,'Membership investments vary' - no amount published,eocc@eocc.org
orlandomovingcompanypros.com,"Orlando, FL",Orlando Chamber of Commerce,https://orlandochamberofcommerce.com/,Chamber of commerce directory / join page,Use 'Join the Chamber' to become a listed member,Not published,https://orlandochamberofcommerce.com/contact-us/
orlandomovingcompanypros.com,"Orlando, FL",Orange County Consumer Protection - consumer tips,https://www.ocfl.net/NeighborsHousing/ConsumerProtection/ConsumerTips.aspx,City or county government or library resource page,Email the consumer protection office and offer a mover-hiring checklist to link,Free,fraudhelp@ocfl.net
orlandomovingcompanypros.com,"Orlando, FL",Orange County - residents portal,https://www.orangecountyfl.net/Residents.aspx,City or county government or library resource page,Ask the county web team to add a new-resident resource,Free,https://www.orangecountyfl.net/Residents.aspx
orlandomovingcompanypros.com,"Orlando, FL",Apartment Association of Greater Orlando,https://www.aago.org/,"Bar association, legal aid or local trade association",Join as a supplier member to appear in their supplier directory,Not published,https://www.aago.org/
orlandomovingcompanypros.com,"Orlando, FL",Greater Orlando Builders Association,https://www.greaterorlandoba.com/,"Bar association, legal aid or local trade association",Join GOBA or take a corporate partnership for a member listing,Not published,https://www.greaterorlandoba.com/
